Parameter,Total Annual,Elec Annual,Gas Annual,Elec Jan,Elec Feb,Elec Mar,Elec Apr,Elec May,Elec Jun,Elec Jul,Elec Aug,Elec Sep,Elec Oct,Elec Nov,Elec Dec,WinSum,Gas Jan,Gas Feb,Gas Mar,Gas Apr,Gas May,Gas Jun,Gas Jul,Gas Aug,Gas Sep,Gas Oct,Gas Nov,Gas Dec
cooling_coil_cop_bulkstorage,0.001459221,0.001854047,0,0,0,0,0.000477109,0.00136161,0.003205009,0.005818093,0.007042608,0.002428425,0.000188576,3.99E-05,0,-0.012860701,0,0,0,0,0,0,0,0,0,0,0,0
oa_person_sales,0.009126324,0.00144416,0.036856969,0.000740296,0.000856409,0.000865001,0.001252236,0.001604957,0.00164357,0.002041529,0.002293617,0.002011263,0.001507784,0.001315789,0.000872964,-0.002721886,0.041946027,0.03836451,0.038836486,0.037282692,0.036361996,0.031550247,0.025344828,0.0225,0.034270312,0.036970567,0.037354125,0.036507309
cooling_setpoint_setup,0.024380262,0.001379808,0.108539001,0.002954296,0.001783029,0.001384669,9.73E-05,0.001587881,0.003882752,0.006730573,0.007830584,0.003537925,0.000239994,0.00122994,0.002096395,-0.009510466,0.191098081,0.102729784,0.099465185,0.103212291,0.116934755,0.138311688,0.148255814,0.16004912,0.12997416,0.086978823,0.057888407,0.047557267
below_grade_wall_insul,0.000686855,0.001309751,0.008029615,0.001598657,0.001535424,0.001551301,0.001469595,0.001305678,0.00113891,0.000889975,0.0008266,0.001188213,0.001431397,0.001493935,0.001506203,0.001388285,0.023370286,0.016888285,0.010264402,0.003699751,0.005757105,0.011476265,0.015984875,0.016787565,0.007518797,0.003072197,0.010231109,0.015213104
fan_eff_office,0.00044027,0.001008465,0.00164218,0.001040146,0.001031878,0.001022073,0.001013715,0.001007952,0.001027423,0.001012428,0.001012402,0.000969453,0.000999039,0.00099685,0.001011664,2.698E-05,0.002437251,0.002278788,0.001825699,0.001350967,0.000826826,0.000131926,0,0.000210748,0.000261199,0.001096652,0.002023661,0.002372145
roof_interior_type,0.002563235,0.000909561,0.008708264,0.000979784,0.000943748,0.001100196,0.00103316,0.001026196,0.000915067,0.000785395,0.000742441,0.000914294,0.001055131,0.000976543,0.000892379,0.000344327,0.004702864,0.006198247,0.009046141,0.012577728,0.016742493,0.018767105,0.017437845,0.011306533,0.014759192,0.010913059,0.006477691,0.004221954
night_cycle,0.002205694,0.000905614,0.006982783,0.001641247,0.00228471,0.000865358,0.000377884,0.000168092,0.000429915,0.000663709,0.0008104,0.000256227,7.54E-05,0.001137089,0.002500893,0.002668031,0.011513932,0.014219159,0.001880911,0.000213402,0.001193427,0.000263783,0.000174672,0.00084317,0.000261233,0.000219443,0.009555959,0.016863203
oa_area_bakery,0.000419046,0.00089897,0.001337875,0.00132037,0.001185797,0.00115991,0.001013977,0.000858882,0.000616707,0.000419126,0.000320751,0.000658725,0.000999302,0.001176494,0.001230061,0.001810554,0.003202665,0.002857005,0.000805542,0.000355644,0.00018379,0,0,0,0,0.000146274,0.001037775,0.001969058
foundation_type,0.001185888,0.000893674,0.002258153,0.000899874,0.000965675,0.000962766,0.000953743,0.000895689,0.000915067,0.000837667,0.0008266,0.000804638,0.00088569,0.00091681,0.000932003,0.00016761,0.021281052,0.00145377,0.000698624,0.002347919,0,0.004353562,0.004017467,0.001686341,0.003125,0.001096011,0.000779018,0.002575764
gas_max_bakery,0.002687134,0.000871903,0.009335719,0.000820361,0.00081258,0.00088473,0.000894686,0.000914845,0.000896911,0.000873012,0.000894515,0.000878204,0.000886174,0.000837588,0.000833366,-0.0001138,0.005296882,0.005520848,0.007341908,0.009428612,0.012895555,0.018081761,0.024229837,0.030006251,0.017644006,0.010055377,0.006734007,0.005141388
